task_name,folder_tag,base_model,pairs_per_segment,state_size,conv_type,num_memory_vectors,d_mem,learning_rate,avg_em,std_em,all_ems,n_runs
N16-K2V2-V62_1M,recurrent_baselines,gated_delta_net,-1,16.0,ck2,-1,,0.001,56.03,17.38,"(70.0, 66.56, 31.54)",3
N16-K2V2-V62_1M,recurrent_baselines,gated_delta_net,-1,16.0,ck4,-1,,0.001,61.6,38.64,"(83.48, 94.02, 7.3)",3
N16-K2V2-V62_1M,recurrent_baselines,gated_delta_net,-1,16.0,noconv,-1,,0.0003,2.77,2.0,"(1.42, 1.3, 5.6)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba,-1,16.0,ck2,-1,,0.001,98.69,0.5,"(98.3, 99.4, 98.38)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba,-1,16.0,ck4,-1,,0.001,98.74,0.78,"(99.1, 97.66, 99.46)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba,-1,16.0,noconv,-1,,0.0003,87.44,10.99,"(71.92, 94.42, 95.98)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,-1,16.0,ck2,-1,,0.001,83.07,6.05,"(88.1, 86.56, 74.56)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,-1,16.0,ck4,-1,,0.001,68.39,43.5,"(6.88, 99.1, 99.2)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,-1,16.0,noconv,-1,,0.0003,36.96,41.44,"(7.46, 7.86, 95.56)",3
N16-K2V2-V62_1M,rmmv5p2,llama,1,32.0,ck4,1,,0.0003,0.82,0.22,"(1.04, 0.6)",2
N16-K2V2-V62_1M,rmmv5p2,llama,16,32.0,ck4,1,,0.0001,1.19,0.05,"(1.14, 1.24)",2
N16-K2V2-V62_1M,rmmv5p2,llama,16,32.0,ck4,4,,0.0001,1.52,0.0,"(1.52,)",1
N16-K2V2-V62_1M,rmmv5p4,llama,1,32.0,ck4,4,,0.0001,5.26,0.0,"(5.26,)",1
N16-K2V2-V62_1M,rmmv5p4,llama,1,32.0,ck4,8,,0.0003,0.02,0.0,"(0.02,)",1
N16-K2V2-V62_1M,segment_baselines,llama,1,,N/A,1,32.0,0.0001,73.24,25.76,"(47.48, 99.0)",2
N16-K2V2-V62_1M,segment_baselines,llama,1,,N/A,1,,0.0001,1.2,0.0,"(1.2, 1.2)",2
N16-K2V2-V62_1M,segment_baselines,llama,1,,N/A,4,32.0,0.0001,99.14,0.0,"(99.14,)",1
N16-K2V2-V62_1M,segment_baselines,llama,1,,N/A,8,32.0,0.0001,99.09,0.01,"(99.1, 99.08)",2
N16-K2V2-V62_1M,segment_baselines,llama,1,,N/A,8,,0.0001,1.54,0.1,"(1.44, 1.64)",2
N16-K2V2-V62_1M,segment_baselines,llama,2,,N/A,1,32.0,0.0001,38.96,14.5,"(24.46, 53.46)",2
