task_name,folder_tag,state_size,num_memory_vectors,read_mode,write_config,learning_rate,avg_em,std_em,all_ems,n_runs
babilong_qa1_0k,runs-rmmv6p0,32.0,8,identity,identity,0.0001,100.0,0.0,"(100.0,)",1
babilong_qa1_0k,runs-rmmv6p0,32.0,8,identity,identity,0.0003,100.0,0.0,"(100.0,)",1
babilong_qa1_0k,runs-rmmv6p0,32.0,8,identity,identity,0.001,100.0,0.0,"(100.0,)",1
babilong_qa1_0k,runs-rmmv6p0,32.0,8,identity,pool,0.0001,61.46,0.0,"(61.46,)",1
babilong_qa1_0k,runs-rmmv6p0,32.0,8,unpool,pool,0.0001,58.56,0.0,"(58.56,)",1
babilong_qa1_0k,runs-rmmv6p0,32.0,8,unpool,pool,0.0003,57.66,0.0,"(57.66,)",1
babilong_qa1_0k,runs-rmmv6p0,,8,N/A,N/A,0.0003,100.0,0.0,"(100.0,)",1
babilong_qa1_0k,runs-rmmv6p2,32.0,8,identity,cross_attn,0.0001,66.47,0.0,"(66.47,)",1
babilong_qa1_0k,runs-rmmv6p2,32.0,8,identity,identity,0.0003,100.0,0.0,"(100.0,)",1
babilong_qa1_0k,runs-rmmv6p2,32.0,8,identity,pool,0.0001,59.46,0.0,"(59.46,)",1
babilong_qa1_0k,runs-rmmv6p2,32.0,8,identity,pool,0.0003,73.67,0.0,"(73.67,)",1
babilong_qa1_0k,runs-rmmv6p2,32.0,32,cross_attn,cross_attn,0.0001,56.66,0.0,"(56.66,)",1
babilong_qa1_0k,runs-rmmv6p2,32.0,32,cross_attn,cross_attn,0.0003,56.96,0.0,"(56.96,)",1
babilong_qa1_0k,runs-rmmv6p2,32.0,32,identity,pool,0.0001,59.46,0.0,"(59.46,)",1
babilong_qa1_0k,runs-rmmv6p2,32.0,32,unpool,pool,0.0001,57.36,0.0,"(57.36,)",1
babilong_qa1_0k,runs-rmmv6p2,32.0,64,cross_attn,cross_attn,0.0001,56.76,0.0,"(56.76,)",1
babilong_qa1_0k,runs-rmmv6p2,32.0,64,identity,pool,0.0001,56.76,0.0,"(56.76,)",1
babilong_qa1_0k,runs-rmmv6p2,32.0,64,unpool,pool,0.0001,57.76,0.0,"(57.76,)",1
babilong_qa1_0k,runs-rmmv6p2,,8,N/A,N/A,0.0001,55.86,0.0,"(55.86,)",1
babilong_qa1_0k,runs-rmmv6p2,,8,N/A,N/A,0.0003,29.63,14.51,"(19.22, 50.15, 19.52)",3
babilong_qa2_0k,runs-rmmv6p0,32.0,8,identity,identity,0.0003,47.45,0.0,"(47.45,)",1
babilong_qa2_0k,runs-rmmv6p0,32.0,8,identity,pool,0.0001,38.44,0.0,"(38.44,)",1
babilong_qa2_0k,runs-rmmv6p0,32.0,8,unpool,pool,0.0001,38.64,0.0,"(38.64,)",1
babilong_qa2_0k,runs-rmmv6p0,,8,N/A,N/A,0.0003,93.99,0.0,"(93.99,)",1
babilong_qa2_0k,runs-rmmv6p2,32.0,8,identity,cross_attn,0.0001,37.54,0.0,"(37.54,)",1
babilong_qa2_0k,runs-rmmv6p2,32.0,8,identity,identity,0.0003,99.5,0.0,"(99.5,)",1
babilong_qa2_0k,runs-rmmv6p2,32.0,8,identity,pool,0.0001,38.04,0.0,"(38.04,)",1
babilong_qa2_0k,runs-rmmv6p2,32.0,8,identity,pool,0.0003,39.04,0.0,"(39.04,)",1
babilong_qa2_0k,runs-rmmv6p2,,8,N/A,N/A,0.0003,22.97,4.75,"(18.22, 27.73)",2
babilong_qa3_0k,runs-rmmv6p0,32.0,8,unpool,pool,0.0001,34.73,0.0,"(34.73,)",1
babilong_qa3_0k,runs-rmmv6p2,32.0,8,identity,cross_attn,0.0001,32.93,0.0,"(32.93,)",1
babilong_qa3_0k,runs-rmmv6p2,32.0,8,identity,identity,0.0003,85.39,0.0,"(85.39,)",1
babilong_qa3_0k,runs-rmmv6p2,32.0,8,identity,pool,0.0001,30.53,0.0,"(30.53,)",1
babilong_qa3_0k,runs-rmmv6p2,32.0,8,identity,pool,0.0003,32.33,0.0,"(32.33,)",1
babilong_qa3_0k,runs-rmmv6p2,,8,N/A,N/A,0.0003,34.53,1.1,"(33.43, 35.64)",2
babilong_qa4_0k,runs-rmmv6p0,32.0,8,unpool,pool,0.0001,100.0,0.0,"(100.0,)",1
babilong_qa4_0k,runs-rmmv6p0,,8,N/A,N/A,0.0003,100.0,0.0,"(100.0,)",1
babilong_qa4_0k,runs-rmmv6p2,32.0,8,identity,identity,0.0001,100.0,0.0,"(100.0,)",1
babilong_qa4_0k,runs-rmmv6p2,32.0,8,identity,identity,0.0003,100.0,0.0,"(100.0,)",1
babilong_qa4_0k,runs-rmmv6p2,32.0,8,identity,pool,0.0001,100.0,0.0,"(100.0,)",1
babilong_qa5_0k,runs-rmmv6p0,32.0,8,unpool,pool,0.0001,73.87,0.0,"(73.87,)",1
babilong_qa5_0k,runs-rmmv6p0,,8,N/A,N/A,0.0003,99.1,0.0,"(99.1,)",1
babilong_qa5_0k,runs-rmmv6p2,32.0,8,identity,identity,0.0001,99.2,0.0,"(99.2,)",1
babilong_qa5_0k,runs-rmmv6p2,32.0,8,identity,identity,0.0003,99.7,0.0,"(99.7,)",1
babilong_qa5_0k,runs-rmmv6p2,32.0,8,identity,pool,0.0001,72.37,0.0,"(72.37,)",1
squad-short,runs-rmmv6p0,32.0,8,identity,identity,0.0001,41.89,0.0,"(41.89,)",1
squad-short,runs-rmmv6p0,32.0,8,identity,identity,0.0003,41.16,0.0,"(41.16,)",1
squad-short,runs-rmmv6p0,32.0,8,identity,pool,0.0001,24.76,0.0,"(24.76,)",1
squad-short,runs-rmmv6p0,32.0,8,identity,pool,0.0003,25.57,0.0,"(25.57,)",1
squad-short,runs-rmmv6p0,32.0,8,identity,pool,0.001,24.91,0.0,"(24.91,)",1
squad-short,runs-rmmv6p0,32.0,8,unpool,pool,0.0001,26.02,0.0,"(26.02,)",1
squad-short,runs-rmmv6p0,32.0,8,unpool,pool,0.0003,24.86,0.0,"(24.86,)",1
squad-short,runs-rmmv6p0,32.0,8,unpool,pool,0.001,19.63,0.0,"(19.63,)",1
squad-short,runs-rmmv6p0,32.0,16,identity,pool,0.0001,25.21,0.0,"(25.21,)",1
squad-short,runs-rmmv6p0,32.0,16,identity,pool,0.0003,28.6,0.0,"(28.6,)",1
squad-short,runs-rmmv6p0,32.0,16,identity,pool,0.001,27.41,0.0,"(27.41,)",1
squad-short,runs-rmmv6p0,32.0,16,unpool,pool,0.0001,27.47,0.0,"(27.47,)",1
squad-short,runs-rmmv6p0,32.0,32,identity,identity,0.0001,42.44,0.0,"(42.44,)",1
squad-short,runs-rmmv6p0,32.0,32,identity,identity,0.0003,39.93,0.0,"(39.93,)",1
squad-short,runs-rmmv6p0,32.0,32,identity,pool,0.0001,21.81,0.0,"(21.81,)",1
squad-short,runs-rmmv6p0,32.0,32,identity,pool,0.0003,28.64,0.0,"(28.64,)",1
squad-short,runs-rmmv6p0,32.0,32,identity,pool,0.001,25.92,0.0,"(25.92,)",1
