task_name,folder_tag,base_model,n_layer,n_head,n_embd,state_size,conv_type,num_memory_vectors,read_mode,write_config,pairs_per_segment,learning_rate,avg_em,std_em,all_ems,n_runs
N16-K2V2-V62_1M,conv_study,gated_delta_net,4,4,128,16.0,N/A,-1,N/A,N/A,-1,0.001,0.6,0.77,"(1.68, 0.12, 0.0)",3
N16-K2V2-V62_1M,recurrent_baselines,gated_delta_net,1,1,64,4.0,ck2,-1,N/A,N/A,-1,0.001,0.74,0.35,"(0.46, 0.52, 1.24)",3
N16-K2V2-V62_1M,recurrent_baselines,gated_delta_net,1,1,64,4.0,ck4,-1,N/A,N/A,-1,0.001,0.55,0.23,"(0.32, 0.78)",2
N16-K2V2-V62_1M,recurrent_baselines,gated_delta_net,4,1,128,16.0,ck2,-1,N/A,N/A,-1,0.001,56.03,17.38,"(70.0, 66.56, 31.54)",3
N16-K2V2-V62_1M,recurrent_baselines,gated_delta_net,4,1,128,16.0,ck4,-1,N/A,N/A,-1,0.001,61.6,38.64,"(83.48, 94.02, 7.3)",3
N16-K2V2-V62_1M,recurrent_baselines,gated_delta_net,4,4,128,16.0,noconv,-1,N/A,N/A,-1,0.0003,2.77,2.0,"(1.42, 1.3, 5.6)",3
N16-K2V2-V62_1M,recurrent_baselines,gated_delta_net,4,4,128,16.0,noconv,-1,N/A,N/A,-1,0.001,0.17,0.21,"(0.02, 0.46, 0.02)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba,4,1,128,16.0,ck2,-1,N/A,N/A,-1,0.001,98.69,0.5,"(98.3, 99.4, 98.38)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba,4,1,128,16.0,ck4,-1,N/A,N/A,-1,0.001,98.74,0.78,"(99.1, 97.66, 99.46)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba,4,1,128,32.0,ck4,-1,N/A,N/A,-1,0.0003,55.59,43.99,"(11.6, 99.58)",2
N16-K2V2-V62_1M,recurrent_baselines,mamba,4,1,128,32.0,ck4,-1,N/A,N/A,-1,0.001,55.61,43.81,"(11.8, 99.42)",2
N16-K2V2-V62_1M,recurrent_baselines,mamba,4,4,128,16.0,noconv,-1,N/A,N/A,-1,0.0003,87.44,10.99,"(71.92, 94.42, 95.98)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba,4,4,128,16.0,noconv,-1,N/A,N/A,-1,0.001,0.13,0.07,"(0.06, 0.1, 0.22)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,1,1,64,4.0,ck2,-1,N/A,N/A,-1,0.001,4.17,0.72,"(4.16, 5.06, 3.3)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,1,1,64,4.0,ck4,-1,N/A,N/A,-1,0.001,23.53,19.67,"(14.2, 5.5, 50.88)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,1,1,64,16.0,ck2,-1,N/A,N/A,-1,0.001,5.0,3.38,"(7.24, 7.54, 0.22)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,1,1,64,16.0,ck4,-1,N/A,N/A,-1,0.001,65.98,41.62,"(7.12, 95.14, 95.68)",3
N16-K2V2-V62_1M,recurrent_baselines,mamba2,1,1,64,32.0,ck2,-1,N/A,N/A,-1,0.001,6.66,0.5,"(6.22, 6.4, 7.36)",3
