task,write,read,mem,ss,bs,lr,kind,seg,src,exact_match,token_acc,run_name,path,variant
qa1,identity,identity,16,32,8,1e-03,eval,1,32,1.0,1.0,rmmv5p7_gpt2pre_ss32_identity_identity_mem16_lr1e-03_bs64,runs-rmmv5p7/babilong2/qa1/rmmv5p7_gpt2pre_ss32_identity_identity_mem16_lr1e-03_bs64/eval_seg1_from32/run_1,identity/identity mem16 ss32 lr1e-03
qa1,identity,identity,16,32,8,1e-03,eval,2,32,1.0,1.0,rmmv5p7_gpt2pre_ss32_identity_identity_mem16_lr1e-03_bs64,runs-rmmv5p7/babilong2/qa1/rmmv5p7_gpt2pre_ss32_identity_identity_mem16_lr1e-03_bs64/eval_seg2_from32/run_1,identity/identity mem16 ss32 lr1e-03
qa1,identity,identity,16,32,8,1e-03,eval,4,32,1.0,1.0,rmmv5p7_gpt2pre_ss32_identity_identity_mem16_lr1e-03_bs64,runs-rmmv5p7/babilong2/qa1/rmmv5p7_gpt2pre_ss32_identity_identity_mem16_lr1e-03_bs64/eval_seg4_from32/run_1,identity/identity mem16 ss32 lr1e-03
qa1,identity,identity,16,32,8,1e-03,eval,8,32,1.0,1.0,rmmv5p7_gpt2pre_ss32_identity_identity_mem16_lr1e-03_bs64,runs-rmmv5p7/babilong2/qa1/rmmv5p7_gpt2pre_ss32_identity_identity_mem16_lr1e-03_bs64/eval_seg8_from32/run_1,identity/identity mem16 ss32 lr1e-03
qa1,identity,identity,16,32,8,1e-03,eval,16,32,1.0,1.0,rmmv5p7_gpt2pre_ss32_identity_identity_mem16_lr1e-03_bs64,runs-rmmv5p7/babilong2/qa1/rmmv5p7_gpt2pre_ss32_identity_identity_mem16_lr1e-03_bs64/eval_seg16_from32/run_1,identity/identity mem16 ss32 lr1e-03
qa1,identity,identity,16,32,8,1e-03,eval,32,32,1.0,1.0,rmmv5p7_gpt2pre_ss32_identity_identity_mem16_lr1e-03_bs64,runs-rmmv5p7/babilong2/qa1/rmmv5p7_gpt2pre_ss32_identity_identity_mem16_lr1e-03_bs64/eval_seg32_from32/run_1,identity/identity mem16 ss32 lr1e-03
qa1,identity,identity,16,32,8,1e-03,eval,64,32,0.990990990990991,0.9945321992709599,rmmv5p7_gpt2pre_ss32_identity_identity_mem16_lr1e-03_bs64,runs-rmmv5p7/babilong2/qa1/rmmv5p7_gpt2pre_ss32_identity_identity_mem16_lr1e-03_bs64/eval_seg64_from32/run_1,identity/identity mem16 ss32 lr1e-03
qa1,identity,identity,16,32,8,1e-03,eval,128,32,0.97997997997998,0.9878493317132442,rmmv5p7_gpt2pre_ss32_identity_identity_mem16_lr1e-03_bs64,runs-rmmv5p7/babilong2/qa1/rmmv5p7_gpt2pre_ss32_identity_identity_mem16_lr1e-03_bs64/eval_seg128_from32/run_1,identity/identity mem16 ss32 lr1e-03
qa1,identity,identity,16,32,8,1e-03,eval,256,32,0.9479479479479479,0.968408262454435,rmmv5p7_gpt2pre_ss32_identity_identity_mem16_lr1e-03_bs64,runs-rmmv5p7/babilong2/qa1/rmmv5p7_gpt2pre_ss32_identity_identity_mem16_lr1e-03_bs64/eval_seg256_from32/run_1,identity/identity mem16 ss32 lr1e-03
qa1,identity,identity,16,32,64,1e-03,train,1,0,1.0,1.0,rmmv5p7_gpt2pre_ss32_identity_identity_mem16_lr1e-03_bs64,runs-rmmv5p7/babilong2/qa1/rmmv5p7_gpt2pre_ss32_identity_identity_mem16_lr1e-03_bs64/seg1_from0/run_1,identity/identity mem16 ss32 lr1e-03
