task,method,mem_update_tokens,0K,1K,2K,4K,8K,16K,32K,64K,128K,256K,512K
qa1,Mamba,1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,92.0
qa1,RMT,512,100.0,100.0,100.0,100.0,100.0,100.0,99.0,96.0,94.0,,87.0
qa1,ARMT,512,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,99.0
qa1,RMM,1,100.0,100.0,100.0,100.0,99.9,100.0,99.9,99.8,97.7,,
qa1,RMM,512,99.9,99.9,100.0,99.9,100.0,99.9,99.6,99.6,97.1,,
qa2,Mamba,1,98.0,98.0,98.0,98.0,98.0,98.0,98.0,95.0,87.0,,
qa2,RMT,512,100.0,99.0,98.0,97.0,94.0,82.0,59.0,39.0,25.0,,22.0
qa2,ARMT,512,,,100.0,100.0,100.0,100.0,100.0,100.0,99.0,,99.0
qa2,RMM,1,100.0,100.0,100.0,100.0,100.0,100.0,99.9,99.6,94.1,,
qa2,RMM,512,98.2,91.0,90.2,91.3,91.7,90.9,91.0,87.3,,,
qa3,Mamba,1,97.0,97.0,97.0,97.0,97.0,96.0,95.0,92.0,81.0,,
qa3,RMT,512,94.0,88.0,81.0,73.0,66.0,55.0,55.0,36.0,25.0,,22.0
qa3,ARMT,512,,,92.0,92.0,92.0,91.0,90.0,86.0,80.0,,72.0
qa3,RMM,1,99.0,99.3,98.9,99.1,98.6,98.1,97.9,97.6,,,
qa3,RMM,512,98.0,97.9,94.2,87.9,79.5,74.6,72.5,68.8,,,
