,task_name,run_name,rmt,eval_token_accuracy,eval_token_accuracy,eval_token_accuracy,eval_exact_match,eval_exact_match,eval_exact_match,run_path,lr,mem_size,modification
,,,first,mean,std,list,mean,std,list,first,,,
160,N8-K2V2-V62_1M-stripped,original_rmt_llama_L4H2D128_mem8_lr1e-04_bs_64_lr_1e-04,True,0.5076499999999999,0.47425651814181746,"[0.1723, 0.843]",0.3746,0.4864894654563447,"[0.0306, 0.7186]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M-stripped/original_rmt_llama_L4H2D128_mem8_lr1e-04_bs_64_lr_1e-04/run_1,1e-04,8,-
161,N8-K2V2-V62_1M-stripped,original_rmt_llama_L4H4D128_mem8_lr1e-04_bs_64_lr_1e-04,True,0.56515,0.21503117215882908,"[0.7172, 0.4131]",0.3098,0.30716718574743623,"[0.527, 0.0926]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M-stripped/original_rmt_llama_L4H4D128_mem8_lr1e-04_bs_64_lr_1e-04/run_1,1e-04,8,-
148,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr3e-04-reconstruct_0.5_bs_64_lr_3e-04,True,0.99991803982252,0.00010267517721373201,"[0.9998454375084527, 0.9999906421365874]",0.9972359386150511,0.0033319785803343827,"[0.9948798739661284, 0.9995920032639739]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr3e-04-reconstruct_0.5_bs_64_lr_3e-04/run_1,3e-04,8,reconstruct
136,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr1e-04-continue_8-16_0.5_bs_64_lr_1e-04,True,0.999460214440135,0.0003697805751968045,"[0.9997216887924076, 0.9991987400878622]",0.9955934939121059,0.003423532645227219,"[0.9980142970611596, 0.9931726907630523]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr1e-04-continue_8-16_0.5_bs_64_lr_1e-04/run_1,1e-04,8,continue
141,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr1e-04-reconstruct_bs_64_lr_1e-04,True,0.9990669890389708,0.000548315382223156,"[0.998679271513972, 0.9994547065639697]",0.9954464336277229,0.002975821046490663,"[0.9933422103861518, 0.9975506568692941]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr1e-04-reconstruct_bs_64_lr_1e-04/run_1,1e-04,8,reconstruct
151,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr5e-05-continue_2-16_0.5_bs_64_lr_5e-05,True,0.9875954385711923,0.001531245959291051,"[0.9886781929726715, 0.986512684169713]",0.9933891244086752,0.005417698682679728,"[0.9972200158856235, 0.989558232931727]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr5e-05-continue_2-16_0.5_bs_64_lr_5e-05/run_1,5e-05,8,continue
140,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr1e-04-reconstruct_0.5_bs_64_lr_1e-04,True,0.9997655999762207,0.0002905071229403678,"[0.9999710195328348, 0.9995601804196066]",0.9902292896662734,0.012146882219168703,"[0.9988184324537219, 0.981640146878825]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr1e-04-reconstruct_0.5_bs_64_lr_1e-04/run_1,1e-04,8,reconstruct
150,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr3e-04_from_N4_bs_64_lr_3e-04,True,0.9931,0.00042426406871188177,"[0.9934, 0.9928]",0.9862,0.0008485281374238028,"[0.9868, 0.9856]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr3e-04_from_N4_bs_64_lr_3e-04/run_1,3e-04,8,-
130,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr1e-04-continue_2-16_0.5_bs_64_lr_1e-04,True,0.9873103515876118,0.0014177316624000842,"[0.9863078639152258, 0.9883128392599978]",0.9846832923433209,0.014845608651398234,"[0.9741858617950755, 0.9951807228915662]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr1e-04-continue_2-16_0.5_bs_64_lr_1e-04/run_1,1e-04,8,continue
144,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr1e-04_from_N4_bs_64_lr_1e-04,True,0.9918,0.00042426406871188177,"[0.9921, 0.9915]",0.9837,0.0007071067811865874,"[0.9842, 0.9832]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr1e-04_from_N4_bs_64_lr_1e-04/run_1,1e-04,8,-
135,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr1e-04-continue_4-8_0.5_bs_64_lr_1e-04,True,0.9866105751440533,0.0015867802345160052,"[0.9854885520799742, 0.9877325982081323]",0.9736703765020367,0.007133976182846849,"[0.9686258935663224, 0.978714859437751]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr1e-04-continue_4-8_0.5_bs_64_lr_1e-04/run_1,1e-04,8,continue
133,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr1e-04-continue_4-16_0.5_bs_64_lr_1e-04,True,0.9967877098211756,0.0037583668820357083,"[0.9941301431127012, 0.99944527652965]",0.9705848014775544,0.03478388564275835,"[0.9459888800635425, 0.9951807228915662]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr1e-04-continue_4-16_0.5_bs_64_lr_1e-04/run_1,1e-04,8,continue
147,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr3e-04-continue_2-16_0.5_bs_64_lr_3e-04,True,0.9740171287587323,0.02317897459159064,"[0.9904071388733966, 0.9576271186440678]",0.9490093814495472,0.06874177467550094,"[0.9976171564733916, 0.9004016064257028]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr3e-04-continue_2-16_0.5_bs_64_lr_3e-04/run_1,3e-04,8,continue
142,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr1e-04_bs_256_lr_1e-04,True,0.96655,0.022698127676088187,"[0.9826, 0.9505]",0.9347,0.04398204178980328,"[0.9658, 0.9036]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr1e-04_bs_256_lr_1e-04/run_1,1e-04,8,-
132,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr1e-04-continue_2-8_0.5_bs_64_lr_1e-04,True,0.9368946463304851,0.017165300360706504,"[0.9247569460443257, 0.9490323466166446]",0.9011340038470004,0.04440081395096178,"[0.8697378872120731, 0.9325301204819277]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr1e-04-continue_2-8_0.5_bs_64_lr_1e-04/run_1,1e-04,8,continue
143,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr1e-04_bs_64_lr_1e-04,True,0.88385,0.05847773080412748,"[0.8425, 0.9252]",0.7875000000000001,0.09461088732276003,"[0.7206, 0.8544]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr1e-04_bs_64_lr_1e-04/run_1,1e-04,8,-
111,N8-K2V2-V62_1M,original_rmt-vl_llama_L4H4D128-out_layer_-2_mem8_lr1e-04_bs_64_lr_1e-04,True,0.8674999999999999,0.05883128419472083,"[0.8259, 0.9091]",0.766,0.09927779207859133,"[0.6958, 0.8362]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt-vl_llama_L4H4D128-out_layer_-2_mem8_lr1e-04_bs_64_lr_1e-04/run_1,1e-04,8,-
155,N8-K2V2-V62_1M,original_rmt_llama_L4H4D256_mem8_lr1e-04_bs_64_lr_1e-04,True,0.8509,0.040729350596345165,"[0.8221, 0.8797]",0.7379,0.05925554826343275,"[0.696, 0.7798]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D256_mem8_lr1e-04_bs_64_lr_1e-04/run_1,1e-04,8,-
114,N8-K2V2-V62_1M,original_rmt-vl_llama_L4H4D128-out_layer_-3_mem8_lr1e-04_bs_64_lr_1e-04,True,0.82535,0.03641599923110715,"[0.7996, 0.8511]",0.7002,0.05713422791987303,"[0.6598, 0.7406]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt-vl_llama_L4H4D128-out_layer_-3_mem8_lr1e-04_bs_64_lr_1e-04/run_1,1e-04,8,-
129,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_bs_64_lr_1e-04 copy,True,0.80435,0.034577521600022136,"[0.7799, 0.8288]",0.6614,0.03592102448427659,"[0.636, 0.6868]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_bs_64_lr_1e-04 copy/run_1,1e-04,8,-
108,N8-K2V2-V62_1M,original_rmt-vl_llama_L4H4D128-out_layer_-1_mem8_lr1e-04_bs_64_lr_1e-04,True,0.79985,0.049568185361176895,"[0.8349, 0.7648]",0.6547000000000001,0.07141778489984141,"[0.7052, 0.6042]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt-vl_llama_L4H4D128-out_layer_-1_mem8_lr1e-04_bs_64_lr_1e-04/run_1,1e-04,8,-
152,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr5e-05-reconstruct_0.5_bs_64_lr_5e-05,True,0.9914452040395687,0.008983481172704911,"[0.99779748449545, 0.9850929235836874]",0.641575108438912,0.3943760935848368,"[0.9204411185506105, 0.3627090983272134]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr5e-05-reconstruct_0.5_bs_64_lr_5e-05/run_1,5e-05,8,reconstruct
138,N8-K2V2-V62_1M,original_rmt_llama_L4H4D128_mem8_lr1e-04-continue_8-8_0.5_bs_64_lr_1e-04,True,0.9371840254696201,0.06863029600787435,"[0.9857129731716281, 0.8886550777676121]",0.5306517571477332,0.5806356929198737,"[0.9412231930103256, 0.12008032128514057]",/workspace-SR006.nfs2/bulatov/rmt/runs/test-time/N8-K2V2-V62_1M/original_rmt_llama_L4H4D128_mem8_lr1e-04-continue_8-8_0.5_bs_64_lr_1e-04/run_1,1e-04,8,continue
